file,text
TTS_2_36,tumaze kwiga uko bategura indyo yuzuye n'uburyo umwana arerwa hari byinshi byahindutse
TTS_2_37,uyu murenge wa kivu uturanye na parike y'igihugu ya nyungwe uhana imbibi n'igice cy'akarere ka nyamasheke
TTS_2_39,ndibuka ko njya kubyara abaganga bambwiye ngo barabona umwana yiruka mu nda
TTS_2_40,ibi bisaba ko babanza gushaka ibyangombya byabo cyangwa se bagahitamo gusigara kandi bari bafatanyije urugendo
TTS_2_41,twagerageje gushaka umu sitari turamubura ariko ntibivuze ko gahunda yacu tuyihagarika
TTS_2_42,iyi nzu nzayituramo kuko ni impano imana yampaye
TTS_2_43,nta kindi nteganya kuyikoresha
TTS_2_46,ibi bivuze ko nzajya nkorana na we imibonano mpuza bitsina
TTS_2_47,ubuhanzi bumaze gutera intambwe mu rwanda
TTS_2_48,kandi na leta ibwitayeho
TTS_2_49,amerika si shyashya
TTS_2_50,ariko nishimiye kuba mu gihugu cy'igihangange gitanga amahirwe menshi
TTS_2_51,abitabiriye iyi nama basobanuye imbogamizi
TTS_2_52,zituma muri aka karere nta nganda nini nyinshi zihaba
TTS_2_53,aho muzakorera hose muzarangwe n'ikinyabupfura
TTS_2_54,kuko aricyo kiranga abapolisi b'urwanda burigihe
TTS_2_55,mu mutima wa kirisitu
TTS_2_56,hari haganjemo guhuza n'imana mu buryo bwuzuye
TTS_2_57,kandi habagamo amahoro nyakuri
TTS_2_59,mayirungi ni ikiyobyabwenge kandi uyifatanywe wese arabihanirwa
TTS_2_60,ndabyuka buri gitondo nkamwenyura
TTS_2_61,nishimira undi munsi ntigeze ntekereza ko nzabona
TTS_2_62,agira ati bazitemye ku murizo no mu mugongo barazikomeretsa ariko bitari cyane
TTS_2_63,mulindahabi yatangaje ko akwiye kuburana adafunze kuko asanga atasibanganya ibimeyetso
TTS_2_64,ntabwo yigeze agerageza gukosora imyumvire bari bafite ku bijyanye no kwigomwa ibiryo
TTS_2_65,jonisoni yabaye umukinnyi mwiza wo hagati mu karere ka afurika y'uburasirazuba
TTS_2_66,ugomba kubereka ko ushobora kubaho mutari kumwe
TTS_2_67,uwo munsi izo nsoresore zarwanye inshuro enye abaturage bakazikiza
TTS_3_1,babisobanuriwe hagamijwe kubamenyesha amategeko abarengera no kubasobanurira uko bakurikirana ibibazo byabo
TTS_3_2,bisa nkaho tomu yibagiwe ibyerekeye iki kibazo ariko nyuma arakora cyane
TTS_3_3,hishwe abatutsi bo muri nzahaha mu kagari ka butambamo
TTS_3_4,bicirwa ahantu hatandukanye
TTS_3_5,kugira ngo bijyane n'imihigo baba barahize yo kuzamurira abaturage imibereho myiza
TTS_3_6,ati ibihugu byinshi biri hano bishyigikiye kandi birashaka impinduka muri ako kanama
TTS_3_7,nawe arabihakana umwarimu wacu amaze kubimenya ni bwo babimubajije arabyiyemerera
TTS_3_8,mariya yaje kumenya uburyo bwo kwinjiza porogaramu y'ubuntu muri mudasobwa ye
TTS_3_9,bisaba izuba n'imvura kugirango umukororombya ubeho
TTS_3_10,nta mukororombya wabaho utagira izuba n'imvura
TTS_3_11,bwana muyobozi nkwandikiye ngirango nkusabe kuntambukiriza iyi nkuru ikubiyemo ibitekerezo byanjye bwite
TTS_3_12,muri rusange humvikanye ko yemera ko yabeshye abanyarwanda kandi ko nawe ubwe abihaze
TTS_3_13,bashoramo amafaranga bizeye kubona inyungu z'ikirenga ariko abenshi birangira bahombye
TTS_3_14,nagirango mbagezeho uyu muvugo nise inzozi ziranga zikanzonga
TTS_3_15,nzayisenga yashatse kutwumvisha
TTS_3_16,yibanda cyane ku mwanya wa bikira mariya muri ibyo bihe byose
TTS_3_17,mugabe yasabye urukiko ko rutegeka ifatirwa ry'imigabane ahamedi afite mu bigo bitatu
TTS_3_18,umukinnyi w'umupira w'amaguru wo muri gabo nibwo yavutse
TTS_3_19,televiziyo ya uganda yerekanye amashusho uyu mupolisi ahagarika abigaragambya anafata ibere rya turinawe
TTS_3_20,mureke dushimire imana kuko iyo ibishaka iba yaratugize imbwa tukajya tumoka nkazo
TTS_3_21,ukwiriye gucecekesha iryo jwi ryo mu mutima wawe rigushuka ukumvira umwuka w'imana ukuburira buri gihe
TTS_3_22,abagera ku bihumbi bitatu bazaba bamaze kuyahabwa mu mpera z'iki cyumweru
TTS_3_23,iyi nama irabera mu nyubako iherereye mu mujyi wa buruseli
TTS_3_24,iyi myigaragambyo ni ya gatatu ibayeho kuva mu kwezi kwa gatandatu
TTS_3_25,ubwo nifashishije utwo dutabo twombi cyane cyane ako ka porogaramu za leta narumiwe
TTS_3_26,guverineri munyantwali ati nkunda ingingo zanjye zose sinarota hari n'urwava ku mubiri wanjye
TTS_3_27,andika ikintu cyose uguze n'igiciro cyacyo ku mpera z'ukwezi andika amafaranga wabonye n ayo wakoresheje
TTS_3_28,twaje ku cyumweru nageze hano saa mbili ninjira mu nzu
TTS_3_29,gusa hari abishimira imyitwarire n'amafoto bamwe bita mabi ya rihana
TTS_3_30,tomu yari yicaye mu mwijima ninjiye mucyumba ncana amatara
TTS_3_31,ibi ngo nibitagira icyo bihindura azakurwa ku butegetsi hifashishijwe igisirikare
TTS_3_32,iri tandukaniro rigaragara ku mafaranga yo kwiyandikisha ayo kwiga n'ibindi bikenerwa mu burezi
TTS_3_33,imfungwa ntazo bafite ibi bigaragaza ko hakiri umubare w infungwa ziba zidafite impapuro
TTS_3_34,yakomeje agira ati ubundi abarangwa n'umuco wo kunyereza bo bafite nibyo banyereza
TTS_3_35,ati ababivuze nkeka ko wenda batubonanye bagakeka ko dukundana ariko ntabwo ari ukuri
TTS_3_36,ndetse anyoherereza ifoto kuri watsapu apfutse ku mutwe nk'umuntu wakomeretse cyane
TTS_3_37,kugira ngo inshuti zawe zose zite kuri gahunda iri mu gitabo cy'amasosiyete
TTS_3_38,ibyo kumpimbira umwenda wawe wambara utankwira ntabyo nshaka
TTS_3_39,abanyarwanda twambara imyenda yizihiye u rwanda
TTS_3_40,inama y'abaminisitiri yemeje amabwiriza ya minisitiri ashyiraho ingamba zo kurinda umutekano w'inyubako za leta
TTS_3_41,zimwe mu mpamvu yavuze harimo kutagirira icyizere abacamanza no kutakirwa kw'abatangabuhamya bashinjura
TTS_3_42,igomba kandi gukora ku buryo abagore batishoboye abapfakazi imfubyi n'abana birera baba mu ngo zabo bitabwaho
TTS_3_43,ahanini bikanaterwa n'uko aba bahanzi bashinjwa gukora umuziki wo guhimbaza imana uvanze n'uwo kwishimisha
TTS_3_44,nyuma y'izo mbyino umwe mu bakoze yubile witwa twagirayezu yavuze ijambo
TTS_3_45,sinzi niba ari ukutanyurwa kuko ibi byose nabimubajije akambwira ko ataribyo
TTS_3_46,usanzwe n'uw'amenyo bose mu kigwi cya diporome aya mashuri abaha seritifika iyo bayarangijemo
TTS_3_47,sinigeze numva ibintu nk'ibi ku muntu uwo ari we wese
TTS_3_48,hariho inzoga z'amoko menshi ndetse inyinshi muri zo ngo ni ubwa mbere uyu muhanzi yari azibonye
TTS_3_49,ubushinwa bufite igishoro kinini muri uganda ariko bumaze guhomba amafaranga menshi kubera ubujura
TTS_3_51,ibyo nibyo biduha kumvikana kuko duhuje ibibazo maze tugatabarana tukabana tugasangira tukanasa
TTS_3_52,roberi namufashije kwandika impapuro zigaragaza impamvu atagikeneye kubana n'uyu mugabo
TTS_3_53,umuririmbyi w'umunyamerika akaba n'umwe mu bagize itsinda rya pentatoni nibwo yavutse
TTS_3_54,mu mujyi wa kigali hazashyirwamo inzira zihariye za bisi zitwara ba mukerarugendo
TTS_3_55,yagize ati nimara gusaza nzahindura imyitwarire ariko ubu imyaka mfite ntabwo inyemerera kwitwara nk'umusaza
TTS_3_56,yari intangarugero atari no ku bw'ubuhanga bwe bwo kuroba gusa
TTS_3_57,ati icyo gihe nahise nsohoka ibintu babijyana ku mbaraga na n'ubu sindabibona
TTS_3_58,none rero aya ni ukuyakuramo ukaramira mugenzi wawe nawe ejo akazakuramira igihe uzaba uyakeneye
TTS_3_59,noneho abantu bose bashobora kubona neza uruhu rwanjye rwera ingingo n'amagufa
TTS_3_60,yagize ati yafashwe ubu afungiye kuri sitasiyo ya polisi ya kanjongo arimo arakorerwa idosiye
TTS_3_61,hanyuma musa n'abatambyi b'abalewi babwira abisirayeli bati ni muze dutambe
TTS_3_62,yakomeje agira ati ntacyo ndi bushinje abakinnyi banjye bibaho rimwe na rimwe
TTS_4_4,alubumu ya mbere yerekanywe mu gushyingo
TTS_4_5,urukiko rwasabye ubushinjacyaha ibindi bimenyetso ntibwabibona maze buhitamo guhagarika burundu icyo kirego
TTS_4_6,kayumba ni umuraperi uririmba indirimbo zo kuramya no guhimbaza imana
TTS_4_7,bibaho iyo watandukanye n'umuntu mwahoze mukundana ariko ukaba utarashobora kumuharira abandi
TTS_4_8,yavuze ko imyumvire ari kimwe mu bibangamira gahunda zo kurandura iki kibazo
TTS_4_9,yashoje ashimira abanyarwanda n'inshuti z'u rwanda zikomeje kubaba hafi
TTS_4_10,abakwirakwizaga aya mafoto bishimiye uyu mugabo cyane bamwereka kandi ko ari intwari iharanira uburenganzira bwa muntu
TTS_4_11,yadusobanuriye adakikira ingorane yahuraga na zo mu mirimo ye
TTS_4_12,ati ubwo twahamagazwaga n'urukiko ngo twisobanure kuri iki kirego twarusabye kugira icyo rukora ngo afatwe
TTS_4_13,depite kankera yavuze ko ayo ari amafaranga ya leta yangijwe
TTS_4_14,abasirikare ba kinshasa bazwiho kutagira ikinyabupfura mu kazi kabo
TTS_4_15,umugore we yaramufashe atitaye ku byo yamukoreye bimushimisha yirukana inshoreke ye
TTS_4_16,jya urya imyungu amadegede ibitunguru bya puwaro ibitunguru by'ibijumba na tungurusumu
TTS_4_17,muri ibyo bihano harimo kubirukana mu kazi no gufatira impushya zabo z'inzira
TTS_4_18,icyo mbona ni uko yohani na shitani itazamwemera kuko ari umugome ukabije
TTS_4_19,abo twaguze baraje ngo dukore ihererekanya ry'ubutaka ndanga kuko bambeshye
TTS_4_20,abamarayika barinze yozefu na mariya igihe bavaga iwabo i nazareti
TTS_4_21,abamamaye mu rwanda ni sentoremico n'abandi
TTS_4_22,icyo nshaka ni uko wemera ibyaha byawe wacumuye ku uwiteka imana yawe sinzakureba igitsure kuko ndi umunyambabazi
TTS_4_23,mulisa yatandukanye na sanyu nyuma yo kumwerekana mu muryango we no kumukwa
TTS_4_24,nkaba numva ku nkengero z'imigezi nka giciye haterwaho ibiti aho bitaraterwa
TTS_4_25,yagize ati dufitanye umubano wihariye n'umubyeyi wemeye kudutwitira turamwizeye muri urwo rugendo rwose
TTS_4_26,aba baganga bazabikorera muri kaminuza yigisha iby'ubuvuzi
TTS_4_27,yanze gucumbagizwa no gucibwaho urukoma nk'insina ngufi ashyiraho demokarasi inogeye kandi ibereye abanyarwanda atitaye k'uko abandi babibona
TTS_4_28,ariko inasize ibimenyetso bifatika byerekana impinduka mu mitekerereze y'abanyafurika
TTS_4_29,nateraga imbere mu buryo bwihuse kandi bambwiye ko iyo nkomeza gukorana umwete nashoboraga no kuzaba musenyeri
TTS_4_30,mu murenge wa kimihurura mu mujyi wa kigali basigaye bamena ibishingwe bivuye mu ngo zabo mu mihanda
TTS_4_31,ntashye nasanze yarakaye cyane ndamuhamagara ngo tuganire araza ariko icyo mubajije cyose ntansubize
TTS_4_32,bamwe bemeza ko izi nka zibwa bigizwemo uruhare n'abashumba bazo
TTS_4_33,mubyara wanjye yadusanze aho twari dutuye hafi y'umupaka w'u bubiligi
TTS_4_34,ubumenyi bwacu bukomoka mu myumvire yacu
TTS_4_37,yahuje icyo yagombaga gukorera mu mujyi wa moreyale kuwa kabiri n'icyagombaga kubera i toronto kuri uyu wa gatatu
TTS_4_38,basanga ari byiza ko bahabwa igihano cy'imirimo nsimburagifungo mu rwego rwo kubagorora kuko abagihanishijwe cyabasubije ku murongo
TTS_4_39,ngo bitume buri wese yiha kurujora uko yiboneye asize iwabo bicika akaza kubonerana igihugu cy'u rwanda
TTS_4_40,jyewe nibera i bijyojyo mu giturage kibi batazi n'amajyane icyo ari cyo
TTS_4_41,barahamya ko utazatunanira kuko n'abasekuruza bawe bameneshejwe mu gihugu cyabo inshuro ebyiri
TTS_4_42,ihita ipfa kandi nta bimenyetso byihariye bitinda ibanza kugaragaza kuko utwo dukoko tugira ubumara bukomeye
TTS_4_43,kanda hano wumve ikiganiro kirambuye byumvuhore yatanze ku kwirukana kalisa
TTS_4_44,bisangwa beni nganji ni umuhanzi akaba n'umunyarwenya yamenyekanye cyane mu mukino usetsa yiseinkirigito
TTS_4_45,mpita nzamuka umuturirwa njyayo gusa mu nzira ngenda nyura ku cyumba kirinzwe cyane
TTS_4_46,uyu munsi sinabuza umuntu kubikora ahubwo navuge ibye hanyuma umwuka wera akore ibye
TTS_4_47,ibigo bitagenerwa ingengo y'imari harimo n'ibigo by'amashuri bivugwaho kudakoresha neza umutungo
TTS_4_48,ese ni ubuhe buryo n'intwaro kamali afite byo gukoresha ngo yigizeyo diyane
TTS_4_49,nuko mbona undi mumarayika aguruka aringanije ijuru mu kanya gato abamarayika benshi batangira kuvuza impanda baririmba
TTS_4_50,umunsi umwe tuzazana umwuzukuru wanjye hano tumwigishirize munsi y'iki giti
TTS_4_51,mu ijoro ryakeye twumvise urusaku rw'amasasu n'induru ku muhanda hafi y'idirishya ryacu
TTS_4_52,za kaminuza ziganjemo iz'ikoranabuhanga zizakenerwa mu nganda n'ibikorwa byo gushyiraho imiyoboro ya murandasi
TTS_4_53,bantu banjye bi kigali umuhungu wanyu yahageze ejo tuzakora ibirori birashyushye
TTS_4_54,igihe navaga mu bitaro bwa mbere nari kumwe na marayika wanjye uturutse mu ijuru
TTS_4_55,dutangire duhangayike se ntitugishoboye kubikoresha duhindure se tujye ku bindi bitatwihutisha cyane
TTS_4_56,kimonyo yasabye ibihugu bigiha umwanya abahakana bakanapfobya jenoside yakorewe abatutsi kwikosora
